agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,num_agents
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,15,72.14285714285714,0.1171875,4,2,10
SniperAgent 4,SniperAgent,0,0.0,0,84.0,0,2,2,10
AdaptiveAgent 5,AdaptiveAgent,6,0.2,0,124.23529411764706,0.0,0,2,10
RandomAgent 6,RandomAgent,0,0.0,0,61.09090909090909,0,8,2,10
ConservativeAgent 7,ConservativeAgent,5,0.16666666666666666,82,118.75,0.10608020698576973,0,2,10
AggressiveAgent 8,AggressiveAgent,2,0.06666666666666667,5,89.0,0.02074688796680498,3,2,10
SniperAgent 9,SniperAgent,2,0.06666666666666667,0,96.85714285714286,0.0,1,2,10
AdaptiveAgent 10,AdaptiveAgent,12,0.4,26,124.0,0.018571428571428572,0,2,10
RandomAgent 1,RandomAgent,0,0.0,0,76.92857142857143,0,4,3,10
ConservativeAgent 2,ConservativeAgent,3,0.1,17,92.57142857142857,0.034,0,3,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,0,75.73684210526316,0.0,1,3,10
SniperAgent 4,SniperAgent,0,0.0,0,64.2,0,1,3,10
AdaptiveAgent 5,AdaptiveAgent,11,0.36666666666666664,4,119.47826086956522,0.0038095238095238095,0,3,10
RandomAgent 6,RandomAgent,0,0.0,0,65.71428571428571,0,10,3,10
ConservativeAgent 7,ConservativeAgent,4,0.13333333333333333,13,80.19047619047619,0.018465909090909092,0,3,10
AggressiveAgent 8,AggressiveAgent,3,0.1,100,95.45454545454545,0.29411764705882354,6,3,10
SniperAgent 9,SniperAgent,0,0.0,0,90.0,0,0,3,10
AdaptiveAgent 10,AdaptiveAgent,8,0.26666666666666666,19,129.05555555555554,0.01828681424446583,0,3,10
RandomAgent 1,RandomAgent,0,0.0,0,78.25,0,2,4,10
ConservativeAgent 2,ConservativeAgent,4,0.13333333333333333,33,82.55555555555556,0.04903417533432392,0,4,10
AggressiveAgent 3,AggressiveAgent,0,0.0,0,77.75,0,0,4,10
SniperAgent 4,SniperAgent,0,0.0,0,42.25,0,2,4,10
AdaptiveAgent 5,AdaptiveAgent,12,0.4,86,128.0,0.0618705035971223,0,4,10
RandomAgent 6,RandomAgent,0,0.0,0,68.25,0,7,4,10
ConservativeAgent 7,ConservativeAgent,3,0.1,0,101.57894736842105,0.0,0,4,10
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,39,93.41176470588235,0.2846715328467153,1,4,10
SniperAgent 9,SniperAgent,0,0.0,0,87.75,0,1,4,10
AdaptiveAgent 10,AdaptiveAgent,10,0.3333333333333333,11,127.80952380952381,0.010617760617760617,0,4,10
RandomAgent 1,RandomAgent,0,0.0,0,69.92307692307692,0,7,5,10
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,2,74.61111111111111,0.006289308176100629,0,5,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,2,67.33333333333333,0.015384615384615385,1,5,10
SniperAgent 4,SniperAgent,1,0.03333333333333333,0,92.42857142857143,0.0,1,5,10
AdaptiveAgent 5,AdaptiveAgent,4,0.13333333333333333,3,105.0,0.008152173913043478,0,5,10
RandomAgent 6,RandomAgent,0,0.0,0,71.3076923076923,0,8,5,10
ConservativeAgent 7,ConservativeAgent,3,0.1,20,58.0,0.052083333333333336,0,5,10
AggressiveAgent 8,AggressiveAgent,4,0.13333333333333333,46,72.875,0.10244988864142539,2,5,10
SniperAgent 9,SniperAgent,0,0.0,0,78.85714285714286,0,0,5,10
AdaptiveAgent 10,AdaptiveAgent,15,0.5,79,95.0,0.05524475524475524,2,5,10
RandomAgent 1,RandomAgent,0,0.0,0,52.53846153846154,0,7,6,10
ConservativeAgent 2,ConservativeAgent,4,0.13333333333333333,50,76.52380952380952,0.07886435331230283,0,6,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,0,87.6875,0.0,2,6,10
SniperAgent 4,SniperAgent,0,0.0,0,35.4,0,1,6,10
AdaptiveAgent 5,AdaptiveAgent,12,0.4,9,125.57142857142857,0.007053291536050157,0,6,10
RandomAgent 6,RandomAgent,0,0.0,0,85.75,0,5,6,10
ConservativeAgent 7,ConservativeAgent,2,0.06666666666666667,18,74.76923076923077,0.052478134110787174,0,6,10
AggressiveAgent 8,AggressiveAgent,1,0.03333333333333333,0,54.294117647058826,0.0,3,6,10
SniperAgent 9,SniperAgent,0,0.0,0,82.2,0,2,6,10
AdaptiveAgent 10,AdaptiveAgent,10,0.3333333333333333,1,124.55555555555556,0.000946969696969697,0,6,10
RandomAgent 1,RandomAgent,0,0.0,0,73.91666666666667,0,4,7,10
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,1,67.83333333333333,0.0031746031746031746,0,7,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,15,92.45454545454545,0.11627906976744186,1,7,10
