memory_access,avg_profit,std_profit,avg_win_rate,std_win_rate,avg_efficiency,std_efficiency
yes,109,84.85,0.4633,0.0367,0.0746,0.0588
no,220.6,98.37,0.18,0.0724,0.4635,0.0931
